1,1546937940597,12.57,0.39,-2.42
1,1546937940598,12.92,0.05,-2.83
1,1546937940610,13.73,-1.36,-4.02
1,1546937940610,12.92,-1.77,-3.24
1,1546937940610,11.71,-1.62,-2.53
1,1546937940610,11.09,-1.6,-1.87
1,1546937940610,11.52,-2.16,-1.4
1,1546937940611,14.04,-2.3,0.25
1,1546937940671,13.75,-1.91,0.56
1,1546937940672,13.22,-0.78,0.27
1,1546937940673,12.22,0.0,0.15
1,1546937940673,11.64,-0.99,-1.09
1,1546937940674,12.18,-2.1,-0.87
1,1546937940674,12.1,-2.07,0.6
1,1546937940675,9.66,0.39,-12.69
1,1546937940750,26.71,-0.33,-6.52
1,1546937940750,27.07,-9.66,4.12
1,1546937940751,16.56,-9.94,11.5
1,1546937940751,4.8,0.21,14.57
1,1546937940751,3.65,7.3,-7.26
1,1546937940751,12.81,0.41,-0.03
1,1546937940751,13.08,-5.39,0.33
1,1546937940752,14.45,-5.85,1.81
1,1546937940821,10.95,-3.32,1.83
1,1546937940822,6.83,2.3,-3.96
1,1546937940822,13.73,-0.72,-0.74
1,1546937940829,11.38,-1.83,0.76
1,1546937940830,8.96,-1.25,-0.64
1,1546937940830,9.88,-0.07,0.05
1,1546937940830,10.93,-0.56,-0.5
1,1546937940896,11.4,-1.25,0.95
1,1546937940898,10.62,-1.62,1.13
1,1546937940899,7.32,-1.99,2.79
1,1546937940900,6.28,-4.25,-16.79
1,1546937940900,20.35,-0.74,-7.07
1,1546937940900,22.69,3.67,3.3
1,1546937940900,-1.32,-4.88,18.57
1,1546937940900,-1.97,0.99,1.89
1,1546937941051,1.6,2.79,-14.31
1,1546937941052,5.99,0.64,-2.12
1,1546937941052,13.88,-0.35,-6.46
1,1546937941053,16.28,0.11,-9.47
1,1546937941053,21.09,0.78,-4.45
1,1546937941121,18.37,-0.97,1.28
1,1546937941121,13.96,-5.42,5.25
1,1546937941121,7.18,0.41,7.48
1,1546937941131,12.44,1.77,-10.5
1,1546937941131,15.19,0.41,-3.32
1,1546937941131,23.26,-2.4,-0.8
1,1546937941132,17.05,1.28,0.25
1,1546937941132,13.39,0.93,-1.38
1,1546937941199,14.57,-2.73,-1.01
1,1546937941199,12.46,0.56,-0.8
1,1546937941200,13.65,-0.68,-0.25
1,1546937941200,13.88,-1.07,-1.75
1,1546937941200,12.46,-0.19,-2.18
1,1546937941200,12.57,0.42,-2.03
1,1546937941200,13.06,0.62,-1.25
1,1546937941201,12.94,0.68,-0.48
1,1546937941280,12.3,0.62,-0.62
1,1546937941280,11.97,0.41,-0.48
1,1546937941281,11.97,0.17,-0.05
1,1546937941281,11.34,0.72,0.56
1,1546937941281,11.11,1.15,0.78
1,1546937941281,11.5,1.26,1.15
1,1546937941281,11.69,0.78,0.66
1,1546937941282,10.27,0.41,-0.44
1,1546937941424,10.46,0.83,-0.39
1,1546937941424,10.93,1.64,-0.25
1,1546937941425,10.93,2.14,-0.19
1,1546937941425,10.27,2.05,0.17
1,1546937941443,9.92,1.87,0.31
1,1546937941443,9.7,1.87,0.27
1,1546937941444,9.6,1.93,0.27
1,1546937941444,9.41,2.44,0.99
1,1546937941496,9.41,2.42,0.66
1,1546937941497,8.9,2.16,0.46
1,1546937941499,7.91,1.85,0.37
1,1546937941499,7.83,1.81,0.29
1,1546937941499,7.79,1.75,0.15
1,1546937941500,7.73,1.75,0.0
1,1546937941500,7.77,1.87,-0.23
1,1546937941500,7.91,2.05,-0.42
1,1546937941571,8.04,2.16,-0.54
1,1546937941573,8.1,1.95,-0.58
1,1546937941573,7.98,1.66,-0.52
